Primary Sequence Name,Sequence Description,Accession Number,Affy Probe ID,Gene Symbol,Correlation Coefficient to Layer 2 High template
DDX54,DEAD (Asp-Glu-Ala-Asp) box polypeptide 54,XM_001111130,MmugDNA.19850.1.S1_at,DDX54,0.527547385
LOC711021,similar to Protein C6orf142 homolog,XM_001109378,MmugDNA.13080.1.S1_at,C6orf142,0.527469028
MmugDNA.12963.1.S1_at,gDNA.Hs2.383795.1.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1564841_at MRNA; cDNA DKFZp761G0323 (from clone DKFZp761G0323)  REP_ORG=M. mulatta,EG705169,MmugDNA.12963.1.S1_at,,0.527445085
SCHIP1,schwannomin interacting protein 1,XM_001100585,MmugDNA.19246.1.S1_s_at,SCHIP1,0.527276203
AFFX-Mmu-ef1a-3_x_at,M. mulatta  GEN=ef1a  DB_XREF=gb:CO647239  DB_XREF=gi:50568733  DB_XREF=ILLUMIGEN_MCQ_40213  FEA=EST  CLONE=IBIUW:22315  DEF=ef1a,CO647239,AFFX-Mmu-ef1a-3_x_at,ef1a,0.526771028
DGKG,"diacylglycerol kinase, gamma 90kDa",XM_001093029,MmuSTS.4052.1.S1_at,DGKG,0.526486592
MmugDNA.41515.1.S1_s_at,gDNA.Hs.199068.0.S1  FEA=U133PSR  GEN=CAMK1G  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 215161_at calcium calmodulin-dependent protein kinase IG  REP_ORG=M. mulatta,gDNA.Hs.199068.0,MmugDNA.41515.1.S1_s_at,CAMK1G,0.526401826
TPM1,tropomyosin 1 (alpha),XM_001103963,MmugDNA.6545.1.S1_at,TPM1,0.526368918
MmugDNA.2129.1.S1_at,gDNA.Hs2.420746.1.A1  FEA=U133PSR  GEN=DRP2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1556627_at Dystrophin related protein 2  REP_ORG=M. mulatta,gDNA.Hs2.420746.1,MmugDNA.2129.1.S1_at,DRP2,0.526336544
COX4NB,COX4 neighbor,XM_001083258,MmuSTS.1590.1.S1_at,NOC4,0.5260518
MmugDNA.34114.1.S1_at,"gDNA.Hs.27151.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239671_at CDNA FLJ31085 fis, clone IMR321000037  REP_ORG=M. mulatta",CN642234,MmugDNA.34114.1.S1_at,,0.525983475
PCDHB5,protocadherin beta 5,XM_001090461,MmugDNA.32990.1.S1_at,PCDHB5,0.525848647
LOC712930,similar to neurochondrin isoform 1,XM_001102087,MmugDNA.31662.1.S1_at,NCDN,0.525735319
LOC698567,similar to Cerebellin-4 precursor (Cerebellin-like glycoprotein 1),XM_001091238,MmugDNA.30654.1.S1_at,CBLN4,0.525352825
ZNF148,zinc finger protein 148,XM_001114032,MmugDNA.38167.1.S1_at,ZNF148,0.525186184
HLF,hepatic leukemia factor,XM_001103594,MmugDNA.33558.1.S1_s_at,HLF,0.524900175
LOC698046,similar to transducin-like enhancer protein 3,XM_001086565,MmugDNA.1429.1.S1_at,TLE3,0.52480107
SPAG5,sperm associated antigen 5,XM_001108701,MmugDNA.19272.1.S1_s_at,SPAG5,0.524713751
LOC716572,similar to cyclin K,XM_001107367,MmuSTS.1417.1.S1_at,CCNK,0.524691459
GUSB,"glucuronidase, beta",XM_001087699,MmuSTS.4305.1.S1_at,MGC22265,0.52447642
MmugDNA.37184.1.S1_at,gDNA.Hs.24809.1.A3  FEA=U133PSR  GEN=FLJ10826  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 225109_at hypothetical protein FLJ10826  REP_ORG=M. mulatta,gDNA.Hs.24809.1,MmugDNA.37184.1.S1_at,FLJ10826,0.524472898
MmugDNA.27233.1.S1_at,gDNA.Hs.48372.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 237250_at Full length insert cDNA clone YZ87G11  REP_ORG=M. mulatta,gDNA.Hs.48372.0,MmugDNA.27233.1.S1_at,,0.524223195
LOC714671,similar to dipeptidyl peptidase 10 isoform long,XM_001104553,MmugDNA.27844.1.S1_at,DPP10,0.523804852
AFFX-Mmu-ef1a-M_x_at,M. mulatta  GEN=ef1a  DB_XREF=gb:CO647239  DB_XREF=gi:50568733  DB_XREF=ILLUMIGEN_MCQ_40213  FEA=EST  CLONE=IBIUW:22315  DEF=ef1a,CO647239,AFFX-Mmu-ef1a-M_x_at,ef1a,0.523613593
LOC718015,"similar to POU domain, class 3, transcription factor 1 (Octamer-binding transcription factor 6) (Oct-6) (POU-domain transcription factor SCIP)",XM_001110192,MmugDNA.5875.1.S1_at,POU3F1,0.523303717
LOC719197,"gDNA.Hs.31141.0.S1  FEA=U133PSR  GEN=ROBO2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226709_at roundabout, axon guidance receptor, homolog 2 (Drosophila)  REP_ORG=M. mulatta",XP_001144336,MmugDNA.28204.1.S1_at,ROBO2,0.523032718
LOC711806,"similar to carbamoyl-phosphate synthetase 1, mitochondrial",XM_001110375,MmugDNA.3124.1.S1_at,,0.522803933
LOC694670,similar to REST corepressor 1,XR_009893,MmugDNA.15152.1.S1_at,RCOR1,0.522629657
PAFAH1B3,"platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit 29kDa",XM_001091025,MmugDNA.319.1.S1_at,PAFAH1B3,0.522571917
DAPK1,death-associated protein kinase 1,XM_001084983,MmuSTS.3600.1.S1_at,DAPK1,0.522213227
AFFX-Mmu-ef1a-5_s_at,M. mulatta  GEN=ef1a  DB_XREF=gb:CO647239  DB_XREF=gi:50568733  DB_XREF=ILLUMIGEN_MCQ_40213  FEA=EST  CLONE=IBIUW:22315  DEF=ef1a,CO647239,AFFX-Mmu-ef1a-5_s_at,ef1a,0.522121189
LOC706386,similar to leucine rich repeat neuronal 6C,XM_001104190,MmugDNA.34695.1.S1_at,FLJ31810,0.522117168
LOC712115,similar to ADP-ribosylation factor guanine nucleotide factor 6 isoform a,XM_001101005,MmugDNA.10446.1.S1_at,,0.522042283
POLR3GL,polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like,XM_001090983,MmugDNA.27337.1.S1_at,POLR3GL,0.521639025
Mmu.2633.1.S1_at,gb:CN647546  DB_XREF=gi:47160989  DB_XREF=ILLUMIGEN_MCQ_28724  CLONE=IBIUW:7490  TID=Mmu.2633.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CN647546,Mmu.2633.1.S1_at,,0.521613892
MmugDNA.36209.1.S1_at,gDNA.Hs.161454.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 233942_at MRNA; cDNA DKFZp434N197 (from clone DKFZp434N197)  REP_ORG=M. mulatta,gDNA.Hs.161454.0,MmugDNA.36209.1.S1_at,,0.521335003
CHST9,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9,XM_001097609,MmugDNA.8441.1.S1_at,CHST9,0.521292221
LOC706873,similar to Tob1 protein (Transducer of erbB-2 1),XM_001095282,MmugDNA.31523.1.S1_at,TOB1,0.520919809
BAI2,brain-specific angiogenesis inhibitor 2,XM_001094702,MmuSTS.3474.1.S1_at,BAI2,0.52063013
LOC716379,similar to FKSG44 protein,XM_001113775,MmugDNA.4172.1.S1_at,FKSG44,0.52005241
LOC694845,vitamin K-dependent protein S precursor,L31380,MmugDNA.22192.1.S1_at,PROS1,0.519908025
GRIN2B,"glutamate receptor, ionotropic, N-methyl D-aspartate 2B",XM_001088140,MmuSTS.2.1.S1_at,GRIN2B,0.519394839
TEF,thyrotrophic embryonic factor,XM_001104007,MmuSTS.2233.1.S1_at,TEF,0.519318761
MYLIP,myosin regulatory light chain interacting protein,XM_001094408,MmugDNA.3424.1.S1_s_at,MYLIP,0.519264711
AKR1C1,gb:CO582236  DB_XREF=gi:50413940  DB_XREF=ILLUMIGEN_MCQ_46051  CLONE=IBIUW:16317  TID=Mmu.7053.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=0  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CO582236,Mmu.7053.1.S1_at,AKR1C2,0.51878648
MEF2D,similar to Myocyte-specific enhancer factor 2D,XR_014502,MmugDNA.28883.1.S1_at,MEF2D,0.518768173
MME,membrane metallo-endopeptidase,XM_001105983,MmuSTS.2991.1.S1_at,MME,0.518730883
MmugDNA.5550.1.S1_at,"gDNA.Hs.234478.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 228503_at CDNA: FLJ22648 fis, clone HSI07329  REP_ORG=M. mulatta",gDNA.Hs.234478.0,MmugDNA.5550.1.S1_at,,0.518261622
GAD1,glutamate decarboxylase 1,XM_001083231,MmugDNA.40699.1.S1_at,GAD1,0.518121659
MmugDNA.9635.1.S1_at,"gDNA.Hs2.208685.1.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1556236_at CDNA clone IMAGE:5265178, partial cds  REP_ORG=M. mulatta",gDNA.Hs2.208685.1,MmugDNA.9635.1.S1_at,,0.517689783
LOC715938,similar to caltractin,XR_013307,MmugDNA.28179.1.S1_at,PDE7B,0.517505705
INPP4A,"inositol polyphosphate-4-phosphatase, type I, 107kDa",XM_001102210,MmunewRS.298.1.S1_at,INPP4A,0.517308888
SIDT2,"SID1 transmembrane family, member 2",XM_001091606,MmugDNA.37517.1.S1_at,SIDT2,0.517279367
LOC715120,"similar to phosphatidylinositol-4-phosphate 5-kinase, type II, gamma",XM_001116153,MmugDNA.31131.1.S1_at,PIP5K2C,0.517165484
MmuSTS.2617.1.S1_at,"gi:60301223  DEF=EREG _7602 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA7602, sequence tagged site  REP_ORG=M. mulatta",60301223,MmuSTS.2617.1.S1_at,EREG,0.516779946
LOC701323,similar to leucine rich repeat containing 3B,XM_001093813,MmugDNA.36495.1.S1_at,LRRC3B,0.516742112
LOC712623,similar to K09A9.6,XM_001100006,MmugDNA.29618.1.S1_at,LOC57168,0.516569269
LOC710112,"similar to B-cell translocation gene 1, anti-proliferative",XM_001104420,MmugDNA.37006.1.S1_at,BTG1,0.516340897
MmugDNA.8487.1.S1_at,gDNA.Hs.330767.0.A1  FEA=U133PSR  GEN=SEC63  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 235395_at SEC63-like (S. cerevisiae)  REP_ORG=M. mulatta,gDNA.Hs.330767.0,MmugDNA.8487.1.S1_at,SEC63,0.51577203
LOC713410,similar to egl nine homolog 1,XM_001104870,MmugDNA.20459.1.S1_at,EGLN1,0.51571822
ZNF148,zinc finger protein 148,XM_001114032,MmugDNA.17337.1.S1_at,ZNF148,0.515366086
MmugDNA.40362.1.S1_at,gDNA.Hs.161145.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 241503_at  REP_ORG=M. mulatta,gDNA.Hs.161145.0,MmugDNA.40362.1.S1_at,,0.515284032
DCN,decorin,XM_001103495,MmugDNA.13802.1.S1_at,DCN,0.51496291
GABRB3,"gamma-aminobutyric acid (GABA) A receptor, beta 3",XM_001109005,MmugDNA.2522.1.S1_at,GABRB3,0.514642876
LOC713222,similar to four and a half LIM domains 2,XM_001108887,MmuSTS.3714.1.S1_at,FHL2,0.514622155
LOC707733,"Similar to peptidylglycine alpha-amidating monooxygenase isoform b, preproprotein",CO648280,Mmu.4140.1.S1_at,PAM,0.514608051
SLCO2A1,"gi:47777116  DEF=SLC21A2_824 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA824, sequence tagged site.  GEN=SLC21A2  PROD=solute carrier family 21 (prostaglandin transporter), member 2  REP_ORG=M. mulatta",47777116,MmuSTS.3837.1.S1_at,SLC21A2,0.513661165
MmugDNA.43618.1.S1_at,gDNA.Hs.194766.2.A1  FEA=U133PSR  GEN=SEZ6L  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 231650_s_at Seizure related 6 homolog (mouse)-like  REP_ORG=M. mulatta,gDNA.Hs.194766.2,MmugDNA.43618.1.S1_at,SEZ6L,0.513505291
INPP4A,"inositol polyphosphate-4-phosphatase, type I, 107kDa",XM_001102494,MmugDNA.20980.1.S1_s_at,INPP4A,0.513004746
MmugDNA.1242.1.S1_at,gDNA.Hs2.162188.1.S1  FEA=U133PSR  GEN=RASGRF2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1556128_a_at Ras protein-specific guanine nucleotide-releasing factor 2  REP_ORG=M. mulatta,gDNA.Hs2.162188.1,MmugDNA.1242.1.S1_at,RASGRF2,0.51270965
SLC25A27,"solute carrier family 25, member 27",XM_001102881,MmuSTS.224.1.S1_at,SLC25A27,0.512298244
MmugDNA.25656.1.S1_at,gDNA.Hs.50636.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239349_at  REP_ORG=M. mulatta,gDNA.Hs.50636.0,MmugDNA.25656.1.S1_at,,0.512245048
MmugDNA.33242.1.S1_at,gDNA.g4885556  FEA=U133PSR  GEN=PODXL  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 201578_at podocalyxin-like  REP_ORG=M. mulatta,gDNA,MmugDNA.33242.1.S1_at,PODXL,0.512209859
LOC698329,similar to T-cell surface glycoprotein CD8 alpha chain precursor (T-lymphocyte differentiation antigen T8/Leu-2) (CD8a antigen),XM_001092778,MmugDNA.5711.1.S1_at,CD8A,0.512150928
TGFBR3,"transforming growth factor, beta receptor III",XM_001098281,MmuSTS.2879.1.S1_at,TGFBR3,0.51162101
LOC711613,hypothetical protein LOC711613,XM_001100438,MmugDNA.41871.1.S1_at,,0.511192659
LOC697127,"similar to CG10038-PB, isoform B",XM_001090460,MmugDNA.23545.1.S1_at,DKFZP564D172,0.511131065
NFIB,nuclear factor I/B,XM_001111136,MmugDNA.39777.1.S1_at,NFIB,0.511125314
CABIN1,calcineurin binding protein 1,XR_010913,MmuSTS.566.1.S1_at,CABIN1,0.510820035
MESP1,mesoderm posterior 1 homolog (mouse),XM_001093487,MmugDNA.8134.1.S1_at,MESP1,0.510620619
CTDSP2,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2",XM_001116520,MmugDNA.33191.1.S1_at,CTDSP2,0.510439331
TDG,thymine-DNA glycosylase,XM_001096060,MmugDNA.4967.1.S1_at,TDG,0.510028975
LOC701884,hypothetical protein LOC701884,XM_001090166,MmugDNA.11661.1.S1_at,PLEKHF2,0.509816875
LOC714388,similar to lipid phosphate phosphatase-related protein type 2,XM_001105205,MmuSTS.1678.1.S1_at,LPPR2,0.509793716
RAPGEF6,Rap guanine nucleotide exchange factor (GEF) 6,XM_001100970,MmugDNA.16773.1.S1_at,RAPGEF6,0.509734935
LOC708905,similar to FGFR1 oncogene partner 2,XM_001103178,MmugDNA.22820.1.S1_at,FGFR1OP2,0.509734902
MmugDNA.23698.1.S1_at,gDNA.Hs2.134065.1.S1  FEA=U133PSR  GEN=DKFZp761H2121  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1553864_at hypothetical protein DKFZp761H2121  REP_ORG=M. mulatta,gDNA.Hs2.134065.1,MmugDNA.23698.1.S1_at,DKFZp761H2121,0.509608763
LOC716568,similar to Tumor protein D53 (hD53) (Tumor protein D52-like 1),XM_001107364,MmugDNA.43150.1.S1_at,TPD52L1,0.509325608
MFSD4,major facilitator superfamily domain containing 4,XM_001093205,MmugDNA.8007.1.S1_at,MFSD4,0.509282053
LOC693975,Similar to transmembrane 4 superfamily member 10,CO645258,Mmu.4013.1.S1_at,,0.508938787
SEC14L1,SEC14-like 1 (S. cerevisiae),XM_001107395,MmugDNA.8425.1.S1_at,SEC14L1,0.508894655
LOC717827,similar to Growth-arrest-specific protein 7 (GAS-7),XM_001113621,MmugDNA.32822.1.S1_at,GAS7,0.508891499
MmugDNA.12280.1.S1_at,"gDNA.Hs.13849.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 235674_at Transcribed locus, moderately similar to NP_056011.2 KIAA0922 protein [Homo sapiens]  REP_ORG=M. mulatta",gDNA.Hs.13849.0,MmugDNA.12280.1.S1_at,,0.508680249
FAM13A,"family with sequence similarity 13, member A",XM_001101062,MmugDNA.10392.1.S1_s_at,FAM13A,0.508447791
VLDLR,gDNA.g437386  FEA=U133PSR  GEN=VLDLR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 209822_s_at very low density lipoprotein receptor  REP_ORG=M. mulatta,gDNA,MmugDNA.27804.1.S1_at,Macaca,0.508279118
GRIA4,"glutamate receptor, ionotrophic, AMPA 4",XM_001100828,MmugDNA.7637.1.S1_at,GRIA4,0.508211982
PRICKLE1,prickle-like 1,XR_010945,MmugDNA.21095.1.S1_at,PRICKLE1,0.508211106
MmuSTS.348.1.S1_at,"gi:56089273  DEF=SYN3 _5359 Rhesus macaque genomic DNA in pCR-XL-TOPO Macaca mulatta STS genomic clone MMA5359, sequence tagged site.  GEN=SYN3  PROD=synapsin III  REP_ORG=M. mulatta",56089273,MmuSTS.348.1.S1_at,SYN3,0.508020652
LOC712610,similar to ETS domain-containing protein Elk-1,XR_012663,MmugDNA.43545.1.S1_at,ELK1,0.507889024
AMPD2,adenosine monophosphate deaminase 2 (isoform L),XM_001092408,MmuSTS.468.1.S1_at,AMPD2,0.50784597
MmugDNA.31933.1.S1_at,gDNA.g6807668  FEA=U133PSR  GEN=CDC42EP3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 209288_s_at CDC42 effector protein (Rho GTPase binding) 3  REP_ORG=M. mulatta,gDNA,MmugDNA.31933.1.S1_at,CDC42EP3,0.507770527
MmugDNA.3058.1.S1_at,"gDNA.g4505960  FEA=U133PSR  GEN=POU3F1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 208345_s_at POU domain, class 3, transcription factor 1  REP_ORG=M. mulatta",gDNA,MmugDNA.3058.1.S1_at,POU3F1,0.50769081
LOC697248,similar to Gamma-aminobutyric-acid receptor gamma-2 subunit precursor (GABA(A) receptor),XM_001087592,MmugDNA.12188.1.S1_at,GABRG2,0.507542037
LOC713244,similar to AP-1 complex subunit sigma-2,XM_001102167,MmugDNA.28102.1.S1_at,AP1S2,0.507347027
PPARGAMMA,peroxisome proliferator-activated receptor gamma 1-b,AF033343,MmuSTS.2287.1.S1_at,PPARG,0.507168358
WIPF3,"WAS/WASL interacting protein family, member 3",XM_001087227,MmugDNA.38568.1.S1_at,WIPF3,0.506833015
LOC714226,similar to nodal modulator 2 isoform 2,XM_001109510,MmuSTS.3145.1.S1_at,NOMO1,0.506791183
LOC711994,"similar to actinin, alpha 1",XR_013562,MmugDNA.10750.1.S1_at,ACTN1,0.506519047
LOC721973,hypothetical protein LOC721973,XR_014685,MmuSTS.1572.1.S1_at,NDEL1,0.506384115
LOC714814,"similar to COP9 (constitutive photomorphogenic) homolog, subunit 2",XM_001113627,MmugDNA.42833.1.S1_at,ACY1L2,0.50638133
SOX6,SRY (sex determining region Y)-box 6,XM_001090651,MmugDNA.26901.1.S1_at,,0.506314411
LOC714105,similar to zinc finger protein 540,XM_001106120,MmugDNA.19370.1.S1_at,ZNF540,0.50601497
LOC706731,similar to nectin 3,XM_001102413,MmuSTS.1264.1.S1_at,PVRL3,0.505918192
PPFIA2,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2",XM_001088683,MmugDNA.12155.1.S1_at,PPFIA2,0.505905804
MmugDNA.2947.1.S1_at,gDNA.g8922171  FEA=U133PSR  GEN=PSD3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 218613_at pleckstrin and Sec7 domain containing 3  REP_ORG=M. mulatta,gDNA,MmugDNA.2947.1.S1_at,PSD3,0.505731439
MmugDNA.29525.1.S1_at,gDNA.Hs.4934.0.S1  FEA=U133PSR  GEN=AFURS1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 212297_at ATPase family homolog up-regulated in senescence cells  REP_ORG=M. mulatta,gDNA.Hs.4934.0,MmugDNA.29525.1.S1_at,AFURS1,0.505652773
LOC719556,similar to Protein C6orf64,XM_001117110,MmugDNA.25259.1.S1_s_at,C6orf64,0.505194578
MmugDNA.36135.1.S1_at,gDNA.Hs.63382.0.S2  FEA=U133PSR  GEN=NRP2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 222877_at Neuropilin 2  REP_ORG=M. mulatta,gDNA.Hs.63382.0,MmugDNA.36135.1.S1_at,NRP2,0.505183211
Mmu.9118.1.S1_at,gb:CO646533  DB_XREF=gi:50568027  DB_XREF=ILLUMIGEN_MCQ_39288  CLONE=IBIUW:24394  TID=Mmu.9118.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=0  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CO646533,Mmu.9118.1.S1_at,,0.505161594
MmuSTS.1060.1.S1_at,"gi:59676446  DEF=SLC25A29 _6846 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA6846, sequence tagged site  REP_ORG=M. mulatta",XP_365664,MmuSTS.1060.1.S1_at,SLC25A29,0.504244636
STUB1,STIP1 homology and U-box containing protein 1,XM_001086262,MmugDNA.28433.1.S1_at,C6orf141,0.504116157
LOC712115,similar to ADP-ribosylation factor guanine nucleotide factor 6 isoform a,XM_001101005,MmugDNA.39963.1.S1_at,,0.503998346
RABGAP1L,similar to RAB GTPase activating protein 1-like isoform A,XM_001103256,MmugDNA.18361.1.S1_s_at,RABGAP1L,0.503938964
PPAPDC1A,phosphatidic acid phosphatase type 2 domain containing 1A,XM_001100981,MmuSTS.1236.1.S1_at,PPAPDC1,0.503673825
LOC713244,similar to AP-1 complex subunit sigma-2,XM_001102358,MmuSTS.472.1.S1_at,AP1S2,0.503459502
LOC716157,similar to syntaxin 6,XM_001114975,MmugDNA.34575.1.S1_s_at,STX6,0.503437428
ADCY2,adenylate cyclase 2 (brain),XM_001083524,MmugDNA.6695.1.S1_at,ADCY2,0.503349225
LOC695968,similar to transmembrane prostate androgen-induced protein isoform b,XM_001086121,MmugDNA.38644.1.S1_at,TMEPAI,0.503091965
EEF1A1,gb:CO647026  DB_XREF=gi:50568520  DB_XREF=ILLUMIGEN_MCQ_39950  CLONE=IBIUW:25059  TID=Mmu.12098.1  CNT=3  FEA=EST  TIER=ConsEnd  STK=1  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CO647026,Mmu.12098.1.S1_x_at,,0.502964634
LRCH1,similar to leucine-rich repeats and calponin homology (CH) domain containing 2,XM_001102804,MmugDNA.28351.1.S1_at,LRCH1,0.502634943
LOC698046,similar to transducin-like enhancer protein 3,XM_001086565,MmugDNA.20928.1.S1_at,TLE3,0.502627214
MmugDNA.5280.1.S1_at,"gDNA.Hs2.351088.1.S1  FEA=U133PSR  GEN=ARPP-21  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1552722_at cyclic AMP-regulated phosphoprotein, 21 kD  REP_ORG=M. mulatta",gDNA.Hs2.351088.1,MmugDNA.5280.1.S1_at,ARPP-21,0.502154588
ARPC2,"actin related protein 2/3 complex, subunit 2, 34kDa",XM_001088889,MmugDNA.34564.1.S1_s_at,ARPC2,0.502020886
LOC708382,hypothetical protein LOC708382,XM_001101201,MmugDNA.19304.1.S1_at,DKFZp434N2030,0.501910681
LOC696272,"similar to cyclic AMP phosphoprotein, 19 kDa",XM_001086897,MmugDNA.24382.1.S1_at,ARPP-19,0.501564101
SLITRK4,"SLIT and NTRK-like family, member 4",XM_001086308,MmuSTS.230.1.S1_at,SLITRK4,0.501403878
MmugDNA.4229.1.S1_at,gDNA.Hs.42658.0.A1  FEA=U133PSR  GEN=LOC400621  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 230015_at hypothetical LOC400621  REP_ORG=M. mulatta,gDNA.Hs.42658.0,MmugDNA.4229.1.S1_at,LOC400621,0.501364124
MmugDNA.9904.1.S1_at,gDNA.Hs.170470.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 238975_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.170470.0,MmugDNA.9904.1.S1_at,,0.501356219
LOC714984,similar to cytoplasmic FMR1 interacting protein 2,XM_001105005,MmugDNA.33272.1.S1_at,CYFIP2,0.500558051
LOC714984,similar to cytoplasmic FMR1 interacting protein 2,XM_001105005,MmugDNA.18963.1.S1_at,CYFIP2,0.500408705
TGFBR3,"transforming growth factor, beta receptor III",XM_001098281,MmugDNA.7149.1.S1_at,TGFBR3,0.500252578
MmuSTS.4455.1.S1_at,"gi:55167524  DEF=DPF3_3903 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA3903, sequence tagged site.  GEN=DPF3  PROD=D4, zinc and double PHD fingers family 3  REP_ORG=M. mulatta",55167524,MmuSTS.4455.1.S1_at,DPF3,0.500096898
